,id,num_tokens,num_nodes,num_edges,nodes_plus_edges,efficiency,normalized_efficiency
31,32,3756,24,14,38,0.010117145899893504,0.3070115613375731
32,33,4867,41,12,53,0.010889665091432094,0.33988098351831175
33,34,2097,29,11,40,0.019074868860276584,0.6881479537895387
34,35,2077,15,7,22,0.01059220028887819,0.3272243449698493
35,36,3829,28,2,30,0.007834943849569079,0.20990761425703824
36,37,2176,32,3,35,0.01608455882352941,0.5609151754641436
37,38,3192,26,14,40,0.012531328320802004,0.40973105631363443
38,39,3917,31,4,35,0.008935409752361501,0.2567306301129297
39,40,4458,37,5,42,0.009421265141318977,0.2774029785456255
40,41,2960,13,4,17,0.0057432432432432436,0.12090919058280085
41,42,3857,48,14,62,0.01607466943220119,0.5604943981135766
42,43,3873,49,1,50,0.012909888974954816,0.42583819008927964
43,44,3700,36,5,41,0.01108108108108108,0.34802541933923353
44,45,3309,48,2,50,0.015110305228165609,0.5194622858947127
45,46,4537,20,2,22,0.00484901917566674,0.08286142591457361
46,47,2556,49,10,59,0.023082942097026604,0.8586848838658899
47,48,4621,35,5,40,0.008656135035706556,0.24484794982914931
48,49,3657,26,7,33,0.009023789991796555,0.2604910640726864
49,50,3620,10,15,25,0.006906077348066298,0.1703858709503991
50,51,2977,50,14,64,0.021498152502519314,0.7912546907780597
51,52,3929,19,8,27,0.00687197760244337,0.16893498280753821
52,53,3484,33,13,46,0.01320321469575201,0.4383187175104171
53,54,3334,29,11,40,0.01199760047990402,0.38702181371585537
54,55,2662,22,9,31,0.011645379413974455,0.37203538613736287
55,56,2417,46,6,52,0.0215142738932561,0.7919406294629132
56,57,4296,38,4,42,0.009776536312849162,0.2925191831054289
57,58,4240,25,10,35,0.008254716981132075,0.2277682712253068
58,59,4712,22,1,23,0.004881154499151104,0.08422873112341693
59,60,2598,26,12,38,0.014626635873749037,0.49888294963959584
60,61,2901,36,12,48,0.016546018614270942,0.5805495312800937
61,62,3796,26,12,38,0.010010537407797681,0.3024755451801357
62,63,2210,42,1,43,0.019457013574660634,0.7044075834386225
63,64,2489,41,6,47,0.01888308557653676,0.679987890208597
64,65,2441,43,15,58,0.02376075378943056,0.8875246575837364
65,66,3329,32,1,33,0.009912886752778613,0.2983206702706143
66,67,3360,36,9,45,0.013392857142857142,0.4463876920104191
67,68,2126,36,1,37,0.017403574788334902,0.6170371373327896
68,69,2376,46,7,53,0.022306397306397305,0.825644179058788
69,70,4055,22,3,25,0.006165228113440197,0.13886395339557034
70,71,2423,41,11,52,0.021460998761865455,0.7896738601650194
71,72,3857,19,5,24,0.00622245268343272,0.14129876481617631
72,73,4825,12,2,14,0.002901554404145078,0.0
73,74,3310,37,11,48,0.014501510574018127,0.4935590737444799
74,75,4136,33,9,42,0.010154738878143133,0.3086110807885493
75,76,4547,32,1,33,0.00725753243897075,0.18533970755023876
76,77,2824,32,15,47,0.016643059490084985,0.5846784610864427
77,78,3216,10,14,24,0.007462686567164179,0.19406867859143823
78,79,3270,42,2,44,0.01345565749235474,0.4490597436867319
79,80,3920,45,8,53,0.013520408163265307,0.45181477833435874
80,81,2083,45,10,55,0.026404224675948152,1.0
81,82,3335,31,10,41,0.012293853073463269,0.3996268747635217
82,83,2635,18,9,27,0.010246679316888045,0.3125229953787487
83,84,4095,28,4,32,0.007814407814407814,0.20903383970615663
84,85,4604,41,2,43,0.009339704604691572,0.27393271173406003
85,86,4256,50,12,62,0.01456766917293233,0.4963740134151256
86,87,4087,27,10,37,0.009053095179838513,0.26173795166899144
87,88,4575,50,9,59,0.012896174863387979,0.42525467717741744
88,89,2744,45,15,60,0.021865889212827987,0.8069012835292612
89,90,4040,41,4,45,0.011138613861386138,0.3504733446021804
90,91,4231,21,8,29,0.0068541715906405105,0.16817736626452684
91,92,3861,28,11,39,0.010101010101010102,0.30632500960975684
92,93,3927,11,11,22,0.0056022408963585435,0.11490977242077756
93,94,3443,47,3,50,0.014522218995062446,0.4944401830314175
94,95,2357,24,1,25,0.010606703436571913,0.32784143007235034
95,96,3120,41,5,46,0.014743589743589743,0.5038591446203432
96,97,3527,39,3,42,0.011908137227105188,0.38321529931709947
97,98,3663,24,7,31,0.008463008463008462,0.2366307315103528
98,99,2579,46,8,54,0.02093834819697557,0.7674359374589801
99,100,3106,14,1,15,0.004829362524146813,0.0820250676926098
100,101,4940,45,7,52,0.010526315789473684,0.3244210677829354
101,102,3690,25,1,26,0.007046070460704607,0.17634234785363267
102,103,2238,47,2,49,0.021894548704200177,0.8081206977932894
103,104,3501,41,11,52,0.014852899171665239,0.5085100811654828
104,105,2382,14,13,27,0.011335012594458438,0.35882978796801895
105,106,4246,41,5,46,0.010833725859632595,0.3375008611257251
106,107,2709,29,10,39,0.014396456256921373,0.489089185179401
107,108,4371,42,8,50,0.011439029970258523,0.36325555638484763
108,109,4138,29,6,35,0.008458192363460609,0.23642581438850424
109,110,4513,35,5,40,0.008863283846665189,0.25366179134430494
110,111,3950,37,1,38,0.009620253164556962,0.2858695919532398
111,112,3509,13,2,15,0.004274722143060701,0.05842603087373684
112,113,2843,27,13,40,0.014069644741470278,0.47518389222027785
113,114,4786,12,14,26,0.005432511491851233,0.10768806516179684
114,115,3630,19,6,25,0.006887052341597796,0.16957638818744147
115,116,3845,35,4,39,0.010143042912873863,0.3081134366853896
116,117,4574,40,11,51,0.01114997813729777,0.35095687586821134
117,118,3008,19,12,31,0.010305851063829786,0.31504065597890324
118,119,4633,25,3,28,0.00604360025901144,0.13368888805098783
119,120,3176,14,2,16,0.005037783375314861,0.09089303242843379
120,121,4954,13,8,21,0.004238998788857489,0.05690606085373144
121,122,4665,46,5,51,0.010932475884244373,0.3417025124049098
122,123,3430,34,3,37,0.010787172011661808,0.33552007139279677
123,124,2183,15,10,25,0.011452130096197893,0.36381294521717483
124,125,3507,37,6,43,0.012261191901910464,0.39823719558345044
125,126,3597,28,7,35,0.009730330831248262,0.2905532157890966
126,127,2993,18,10,28,0.009355162044771133,0.2745904004094658
127,128,4002,13,3,16,0.00399800099950025,0.046652000929043994
128,129,3252,47,6,53,0.016297662976629768,0.5699824070014905
129,130,3072,19,14,33,0.0107421875,0.33360605434105023
130,131,2337,25,5,30,0.012836970474967908,0.4227356277359971
131,132,4486,14,13,27,0.0060187249219794915,0.13263048333593758
132,133,3104,40,14,54,0.017396907216494846,0.6167534431072847
133,134,3817,41,2,43,0.011265391668849881,0.3558675319858941
134,135,4647,25,11,36,0.007746933505487412,0.20616291873674858
135,136,4710,34,7,41,0.00870488322717622,0.24692210527216502
136,137,3274,44,9,53,0.016188149053146,0.56532276951276
137,138,4481,37,3,40,0.00892657888864093,0.256354891372674
138,139,4300,50,7,57,0.013255813953488372,0.4405567294949306
139,140,2808,36,2,38,0.013532763532763533,0.4523404790039141
140,141,2495,36,10,46,0.01843687374749499,0.6610023101072113
141,142,4110,38,12,50,0.012165450121654502,0.39416354015839744
142,143,3661,23,9,32,0.008740781207320403,0.24844950533900984
143,144,4023,37,15,52,0.012925677355207556,0.42650995972524647
144,145,2915,40,10,50,0.017152658662092625,0.6063610684716565
145,146,4213,14,7,21,0.004984571564206029,0.08862895730448193
146,147,4785,44,10,54,0.01128526645768025,0.3567131715919696
147,148,4922,18,9,27,0.005485574969524584,0.1099458289418135
148,149,3740,32,1,33,0.008823529411764706,0.2519703054645844
149,150,3190,43,14,57,0.017868338557993732,0.6368120720225053
150,151,4767,41,10,51,0.010698552548772814,0.3317494588681717
151,152,4308,34,2,36,0.008356545961002786,0.23210092699135726
152,153,3912,27,11,38,0.009713701431492843,0.28984566215527097
153,154,2786,19,11,30,0.010768126346015794,0.33470970961578356
154,155,2343,16,4,20,0.008536064874093044,0.239739161754223
155,156,4408,17,9,26,0.005898366606170599,0.1275094347734987
156,157,4620,15,5,20,0.004329004329004329,0.06073564868804758
157,158,3480,40,3,43,0.01235632183908046,0.4022848180905885
158,159,4695,37,1,38,0.008093716719914802,0.2209179746694116
159,160,2541,37,3,40,0.015741833923652106,0.5463327941468819
160,161,4532,29,6,35,0.007722859664607238,0.2051386163659215
161,162,2907,33,2,35,0.012039903680770554,0.38882174539924735
162,163,4394,21,4,25,0.005689576695493855,0.11862576716202582
163,164,4631,35,4,39,0.008421507233858778,0.2348649224056965
164,165,4779,44,4,48,0.010043942247332079,0.3038968662108134
165,166,4178,26,5,31,0.007419818094782192,0.1922446955339293
166,167,4859,11,13,24,0.004939287919324964,0.08670221262579776
167,168,2725,12,5,17,0.006238532110091743,0.14198291799847723
168,169,2930,29,5,34,0.011604095563139932,0.3702788261228163
169,170,2026,35,11,46,0.022704837117472853,0.8425971382956611
170,171,3674,18,7,25,0.006804572672836146,0.16606701381390043
171,172,3875,21,10,31,0.008,0.21693048223425465
172,173,3259,13,5,18,0.005523166615526235,0.11154529170782741
173,174,2226,27,5,32,0.014375561545372867,0.4882001495376264
174,175,2882,38,3,41,0.014226231783483692,0.4818464135509402
175,176,2886,19,7,26,0.009009009009009009,0.2598621575434875
176,177,3414,41,3,44,0.012888107791446984,0.4249114365223045
177,178,4904,10,12,22,0.004486133768352365,0.06742124813401985
178,179,3216,29,2,31,0.009639303482587064,0.28668015168155103
179,180,2919,18,15,33,0.011305241521068859,0.35756307771572493
180,181,4647,17,15,32,0.00688616311598881,0.1695385530989727
181,182,2414,22,9,31,0.01284175642087821,0.42293926187011693
182,183,2575,28,7,35,0.013592233009708738,0.45487080752647996
183,184,4907,39,5,44,0.008966782147951905,0.2580654739935436
184,185,3575,25,15,40,0.011188811188811189,0.3526091583988482
185,186,4865,32,12,44,0.009044193216855087,0.26135918777193307
186,187,3936,41,9,50,0.012703252032520325,0.41704612773871336
187,188,3176,48,3,51,0.01605793450881612,0.559782354622708
188,189,3548,14,8,22,0.0062006764374295375,0.14037222133191068
189,190,2767,44,12,56,0.020238525478857967,0.7376596307659825
190,191,3721,13,5,18,0.004837409298575652,0.0823674447219337
191,192,4273,10,14,24,0.005616662766206412,0.11552339928449488
192,193,4102,26,13,39,0.009507557289127255,0.28107456763785754
193,194,4982,39,15,54,0.010839020473705338,0.3377261382543029
194,195,4839,30,4,34,0.007026245091961149,0.1754988109910472
195,196,4622,49,12,61,0.013197749891821722,0.4380861990830603
196,197,3047,27,2,29,0.009517558254020347,0.28150009226026995
197,198,2148,11,15,26,0.012104283054003724,0.39156098194082484
198,199,2731,20,14,34,0.012449652142072502,0.4062558691206501
199,200,4930,22,12,34,0.006896551724137931,0.16998057130494582
